Sun May 31 16:59:43 EEST 2020,Display Films,AWT-EventQueue-0
Sun May 31 16:59:48 EEST 2020,Display Program,AWT-EventQueue-0
Sun May 31 17:00:13 EEST 2020,Sold Ticket,AWT-EventQueue-0
Sun May 31 17:00:18 EEST 2020,Display Tickets,AWT-EventQueue-0
Sun May 31 17:00:31 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:11:10 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:19:47 EEST 2020,Delete item,AWT-EventQueue-0
Wed Jun 03 14:20:38 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:23:01 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:24:10 EEST 2020,Added Film,AWT-EventQueue-0
Wed Jun 03 14:24:13 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:24:19 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:25:08 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:25:15 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:25:36 EEST 2020,Added Program,AWT-EventQueue-0
Wed Jun 03 14:25:39 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:25:57 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:26:02 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:26:23 EEST 2020,Added Program,AWT-EventQueue-0
Wed Jun 03 14:26:25 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:27:24 EEST 2020,Added Film,AWT-EventQueue-0
Wed Jun 03 14:27:27 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:27:48 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:27:55 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:28:40 EEST 2020,Added Program,AWT-EventQueue-0
Wed Jun 03 14:28:46 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:28:57 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:31:27 EEST 2020,Added Film,AWT-EventQueue-0
Wed Jun 03 14:31:31 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:31:35 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:31:37 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:31:53 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:32:12 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:32:50 EEST 2020,Added Program,AWT-EventQueue-0
Wed Jun 03 14:32:52 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:33:31 EEST 2020,Added Program,AWT-EventQueue-0
Wed Jun 03 14:33:33 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:33:48 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:33:52 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:33:54 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:36:07 EEST 2020,Display Tickets,AWT-EventQueue-0
Wed Jun 03 14:36:15 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:36:21 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:36:25 EEST 2020,Display Tickets,AWT-EventQueue-0
Wed Jun 03 14:36:53 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:37:02 EEST 2020,Display Films,AWT-EventQueue-0
Wed Jun 03 14:39:06 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:39:24 EEST 2020,Display Program,AWT-EventQueue-0
Wed Jun 03 14:39:44 EEST 2020,Display Program,AWT-EventQueue-0
